Symbol,name of the company,ISIN number
507609,Olympic Oil Industries Ltd.,INE286E01019
507621,Milkfood Ltd.,INE588G01021
507645,Polson Ltd.,INE339F01021
507663,SIGNATURE GREEN CORPORATION LIMITED,INE131O01024
507690,Orient Beverages Ltd.,INE247F01018
507753,TGV SRAAC LIMITED,INE284B01028
507759,Lime Chemicals Ltd.,INE891G01011
507808,United Leasing & Industries Ltd,INE357P01014
507813,National Oxygen Ltd.,INE296D01010
507817,Wires & Fabriks (SA) Ltd.,INE469D01013
507828,ANSAL HOUSING LIMITED,INE880B01015
507833,Computer Point Ltd.,INE607B01012
507836,Mac Charles (India) Ltd.,INE435D01014
507852,Addi Industries Ltd.,INE757C01021
507864,Pioneer Investcorp Ltd,INE746D01014
507872,Ashnoor Textiles Mills Ltd.,INE372I01018
507912,LKP Finance Limited,INE724A01017
507917,East Buildtech Limited,INE706N01017
507938,Manipal Finance Corporation Ltd.,INE798E01013
507944,Bajaj Steel Industries Ltd.,INE704G01024
507946,Kiduja  India  Ltd,INE845A01028
507948,Key Corp Ltd,INE130F01016
507952,Shikhar Leasing and Trading Ltd.,INE02BV01019
507960,Gujarat Hotels Ltd.,INE621C01011
507962,FYNX CAPITAL LIMITED,INE455H01021
507966,Ras Resorts & Apart Hotels Ltd.,INE651D01016
507968,Jolly Plastic Industries Ltd.,INE289M01016
507970,Paramount Cosmetics (India) Ltd,INE143I01013
507981,Jindal Hotels Ltd.,INE726D01016
507984,SER Industries Ltd,INE358F01013
507987,Jupiter Industries & Leasing Ltd.,INE990E01016
507998,Simmonds-Marshall Ltd,INE657D01021
508136,B & A Ltd.,INE489D01011
508486,Hawkins Cooker Ltd.,INE979B01015
508494,Warren Tea Ltd.,INE712A01012
508571,Cochin Malabar Estates & Indus. Ltd,INE788M01017
508664,Best Eastern Hotels Limited,INE553F01035
508670,Neelamalai Agro Industries Ltd.,INE605D01012
508807,IST Limited,INE684B01029
508867,New Markets Advisory Ltd,INE800K01014
508875,Nitin Castings Limited,INE861H01020
508905,NEXOME CAPITAL MARKETS LIMITED,INE641A01013
508918,IRONWOOD EDUCATION LIMITED,INE791H01011
508922,MSR India Limited,INE331L01026
508941,Panasonic Carbon India Co.Ltd,INE013E01017
508956,HB Leasing & Finance Co. Ltd.,INE549B01016
508961,Shricon Industries Ltd.,INE753D01010
508963,TRUSTWAVE SECURITIES LIMITED,INE668Y01016
508969,Sulabh Engineers & Services Limited,INE673M01029
508980,Frontier Capital Limited,INE977E01013
508993,Kedia Construction Co. Ltd.,INE511J01027
509003,Transoceanic Properties Ltd.,INE074J01018
509015,Thakral Services (India) Limited,INE190F01028
509024,Golden Legand Leasing & Finance Ltd,INE088E01019
509026,VJTF Eduservices Limited,INE117F01013
509038,Voltaire Leasing & Finance Ltd.,INE763D01019
509040,Netlink Solutions (India) Ltd.,INE040F01033
509046,TRILIANCE POLYMERS LIMITED,INE778N01016
509051,Indian Infotech And Software Ltd.,INE300B01022
509053,Banas Finance Limited,INE521L01030
509073,Hathway Bhawani Cabletel & Datacom,INE525B01016
509162,Indag Rubber Ltd.,INE802D01023
509196,M.M. Rubber Company Ltd.,INE159E01026
509423,Sanathnagar Enterprises Limited,INE367E01033
509438,Benares Hotels Ltd,INE664D01019
509449,Bhagwati Oxygen Ltd.,INE026I01010
509470,BOMBAY OXYGEN INVESTMENTS LIMITED,INE01TL01014
509472,Cravatex Ltd.,INE145E01017
509486,Caprihans India Ltd.,INE479A01018
509525,Empire Industries Ltd.,INE515H01014
509546,Graviss Hospitality Ltd,INE214F01026
509563,Garware Marine Industries Ltd.,INE925D01014
509597,Hardcastle & Waud Mfg. Co. Ltd.,INE722D01015
509650,Hindustan Housing Co. Ltd.,INE083O01019
509732,Kothari Industrial Corpn. Ltd.,INE972A01020
509760,Modern Shares and Stockbrokers Ltd.,INE370A01019
509762,Mapro Industries Ltd,INE848M01019
509782,Oseaspre Consultants Ltd.,INE880P01015
509835,Premier Synthetics Ltd.,INE940N01012
509845,R.J. Shah & Co. Ltd.,INE712Z01019
509870,Shah Construction Co. Ltd.,INE02C301011
509887,Sinnar Bidi Udyog Ltd.,INE896E01023
509895,Hindoostan Mills Ltd.,INE832D01020
509910,The Southern Gas Limited,INE532U01012
509917,Technojet Consultants Ltd.,INE881P01013
509945,Thacker & Co. Ltd.,INE077P01034
509953,Trade Wings Ltd.,INE961E01017
509960,U.P. Hotels Ltd.,INE726E01014
510245,Swasti Vinayaka Synthetics Ltd.,INE804A01025
511000,Madhusudan Securities Ltd,INE856D01011
511012,Yamini Investments Company Limited,INE457N01025
511016,Premier Capital Services Ltd.,INE946K01023
511018,MILGREY FINANCE & INVESTMENT LTD,INE679T01013
511038,Arco Leasing Ltd.,INE955S01019
511048,Kusam Electrical Industies Ltd.,INE175Q01018
511060,Jumbo Finance Ltd.,INE122N01017
511066,Sakthi Finance Ltd.,INE302E01014
511074,EASY FINCORP LIMITED,INE407F01018
511092,JMD Ventures Limited,INE047E01031
511096,Tivoli Construction Ltd.,INE747V01014
511110,V.B.Desai Financial Services Ltd,INE848D01018
511116,Quadrant Televentures Limited,INE527B01020
511122,First Custodian Fund (India) Ltd.,INE609B01018
511131,Kamanwala Housing Construction Ltd,INE344D01018
511147,WSFX Global Pay Limited,INE549D01012
511153,Anjani Foods Limited,INE096I01021
511169,RKD AGRI & RETAIL LIMITED,INE552N01023
511176,Parshwanath Corporation Limited,INE635I01018
511185,RAJVI LOGITRADE LIMITED,INE381N01019
511187,Millennium Online Solutions (India) Ltd,INE570N01025
511200,Munoth Capital Market Ltd,INE910G01027
511246,BOMBAY TALKIES LIMITED,INE910D01024
511254,Sagar Systech Ltd.,INE771Z01015
511260,ICONIK SPORTS AND EVENTS LIMITED,INE088P01015
511355,India Cements Capital Limited,INE429D01017
511359,AD-Manum Finance Ltd,INE556D01017
511377,Mehta Integrated Finance Ltd.,INE240B01012
511391,Inter Globe Finance Ltd.,INE661M01016
511401,MUNOTH COMMUNICATION LIMITED,INE410E01015
511411,SHRISTI INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.,INE472C01027
511441,Gujarat Credit Corporation Ltd.,INE034B01019
511447,Sylph Industries Limited,INE706F01021
511451,Dharani Finance Ltd.,INE899D01011
511463,Alexander Stamps And Coin Limited,INE191N01012
511493,SHRYDUS INDUSTRIES LIMITED,INE488C01015
511501,BHARAT BHUSHAN FINANCE & COMMODITY BROKERS LIMITED,INE900A01013
511507,Ushakiran Finance Ltd.,INE697C01011
511509,Vivo Bio tech Ltd.,INE380K01017
511523,Veerhealth Care Limited,INE882C01035
511525,Pan India Corporation Ltd,INE376A01032
511533,Sahara HousingFina Corporation Ltd.,INE135C01012
511535,NDA Securities ltd.,INE026C01013
511539,Supra Trends Limited,INE533B01028
511543,GSB Finance Ltd.,INE777C01011
511549,Morarka Finance Ltd.,INE367A01015
511557,Pro Fin Capital Services Ltd,INE732K01027
511563,Sanchay Finvest Ltd,INE654D01010
511571,Crescentis Capital Limited,INE754C01010
511577,Mantra Capital Limited,INE304E01010
511585,BEFOUND MOVEMENT LIMITED,INE425F01028
511593,Libord Finance Limited,INE212B01011
511601,Yash Management & Satellite Ltd.,INE216B01012
511609,ISL Consulting Ltd,INE569B01022
511626,R.R.Financial Consultants Ltd.,INE229D01011
511628,FEDDERS HOLDING LIMITED,INE417D01020
511632,Olympic Management & Financial Serv,INE091N01014
511636,DJS Stock & Shares Ltd.,INE234E01027
511644,Omega Interactive Technologies Ltd.,INE113B01037
511654,Sugal & Damani Share Brokers Ltd.,INE309D01011
511658,Nettlinx Ltd.,INE027D01019
511664,BGIL Films & Technologies Ltd,INE443D01018
511672,Scan Steels Limited,INE099G01011
511692,Ajcon Global Services Ltd.,INE759C01027
511696,Chartered Capital & Investment Ltd.,INE953B01010
511700,Standard Capital Markets Ltd.,INE625D01028
511702,YOGI LIMITED,INE290E01011
511710,Cubical Financial Services Ltd.,INE717D01023
511712,Relic Technologies Ltd.,INE452B01013
511714,Nimbus Projects Limited,INE875B01015
511716,Invigorated Business Consulting Limited,INE359A01012
511728,K.Z.Leasing & Finance Ltd.,INE006C01015
511734,Pasupati Fincap Ltd.,INE527C01010
511738,Mehta Securities Ltd.,INE241B01010
511740,RUPAREL FOOD PRODUCTS LIMITED,INE239B01014
511754,Shalibhadra Finance Ltd.,INE861D01011
511756,Abirami Financial Services (India),INE195I01013
511758,Mansi Finance (Chennai) Ltd,INE094E01017
511764,Aastamangalam Finance Limited,INE819K01014
512004,Nilkanth Engineering Ltd.,INE582V01015
512014,Sobhagya Mercantile Ltd.,INE754D01018
512018,TOMORROW TECHNOLOGIES GLOBAL INNOVATIONS LIMITED,INE135H01029
512020,Saraswati Commercial (India) Ltd.,INE967G01019
512022,Winro Commercial (India) Ltd.,INE837E01019
512025,BANGANGA PAPER INDUSTRIES LIMITED,INE767M01029
512026,VEGA JEWELLERS LIMITED,INE603D01017
512036,SKYBIOTECH HEALTHCARE LIMITED,INE393H01016
512047,Royal India Corporation Limited,INE510H01015
512048,DHANSAFAL FINSERVE LIMITED,INE195E01020
512060,Ventura Guaranty Ltd.,INE139J01019
512062,Sanmitra Commercial Ltd.,INE896J01014
512063,WARDWIZARD HEALTHCARE LIMITED,INE048E01013
512064,VISHVPRABHA VENTURES LIMITED,INE762D01011
512065,Mrugesh Trading Ltd.,INE738D01029
512068,Deccan Gold Mines Ltd.,INE945F01025
512091,Nibe Ordnance and Maritime Limited,INE425H01016
512093,Cranes Software International Ltd.,INE234B01023
512097,Saianand Commercial Limited,INE092G01024
512099,EYANTRA VENTURES LIMITED,INE750G01019
512101,Triochem Products Ltd.,INE331E01013
512103,Nidhi Granites Limited,INE276H01013
512109,Aviva Industries Limited,INE461H01011
512115,Rose Merc.Limited,INE649C01012
512117,Twin Roses Trades & Agencies Ltd.,INE436U01016
512147,Kajal Synthetics and Silk Mills Ltd,INE956V01011
512149,Avance Technologies Ltd.,INE758A01072
512153,M LAKHAMSI INDUSTRIES LIMITED,INE808W01012
512157,Terraform Realstate Limited,INE123V01018
512165,ABans Enterprises Limited,INE365O01028
512175,Vama Industries Limited,INE685D01022
512195,Bentley Commercial Enterprises Ltd.,INE496M01017
512197,Silver oak Commercial Ltd.,INE798C01017
512213,Classic Electricals Ltd.,INE02BR01017
512217,Prism Medico and Pharmacy Ltd.,INE730E01016
512221,SPV GLOBAL TRADING LIMITED,INE177E01010
512229,Veritas (India) Limited,INE379J01029
512245,Nivi Trading Ltd.,INE552F01011
512247,Ashirwad Capital Ltd.,INE894A01026
512257,Swasti Vinayaka Art And Heritage Corporation Ltd,INE895A01023
512261,Bajaj Global Ltd,INE553H01015
512265,Avon Mercantile Ltd.,INE471D01019
512267,Media Matrix Worldwide Ltd.,INE200D01020
512271,Tashi India Ltd.,INE552H01017
512277,Autoriders International Ltd,INE340U01010
512291,Speedage Commercials Ltd.,INE497M01015
512297,Shantai Industries Limited,INE408F01024
512301,Chambal Breweries & Distilleries Li,INE417N01011
512303,Mansoon Trading Co. Ltd.,INE776V01013
512344,Aravali Securities & Finance Ltd.,INE068C01015
512345,Yash Trading & Finance Ltd.,INE745A01012
512361,CUPID BREWERIES AND DISTILLERIES LIMITED,INE108G01010
512367,Sheraton Properties & Finance Ltd.,INE495M01019
512377,Magnanimous Trade & Finance Ltd.,INE664N01018
512379,CRESSANDA RAILWAY SOLUTIONS LIMITED,INE716D01033
512393,Shardul Securities Ltd.,INE037B01020
512399,SERA INVESTMENTS & FINANCE INDIA LIMITED,INE017I01027
512404,Bengal Steel Industries Ltd.,INE523W01017
512408,Uniworth Securities Limited,INE728J01019
512415,Mercury Trade Links Ltd.,INE319T01016
512425,Nirav Commercials Ltd.,INE242B01018
512431,White Hall Commercial Co.Ltd.,INE416X01012
512433,Asutosh Enterprise Ltd.,INE508W01018
512437,Apollo Finvest (India) Ltd.,INE412D01013
512439,Esquire Money Guarantees Ltd,INE0HMN01013
512441,Enbee Trade & Finance Ltd.,INE993I01029
512443,Ganon Products Limited,INE162L01017
512445,Devinsu Trading Ltd.,INE07LH01016
512453,Shri Jagdamba Polymers Ltd,INE564J01026
512461,Punctual Trading Ltd.,INE07NX01019
512477,Betex India Ltd.,INE765L01017
512479,VIRYA RESOURCES LIMITED,INE661K01010
512485,Dhanlaxmi Cotex Ltd.,INE977F01010
512489,Oasis Securities Limited,INE876A01023
512493,Garnet International Limited,INE590B01010
512499,Shalimar Productions Ltd.,INE435E01020
512505,Meenakshi Steel Industries Ltd.,INE721V01019
512511,Varun Mercantile Ltd.,INE442U01014
512517,Vinayak Vanijya Ltd.,INE132V01019
512527,Super Sales India Ltd.,INE091C01017
512565,NEELKANTH LIMITED,INE581D01015
512587,Zodiac-JRD-MKJ Ltd.,INE077B01018
512589,Sita Enterprises LTD.,INE579D01019
512591,Pulsar International Limited,INE183U01022
512595,Manbro Industries Limited,INE348N01042
512600,ASTAL LABORATORIES LIMITED,INE307N01014
512604,Haria Exports Ltd.,INE772B01014
512618,RLF Ltd.,INE629C01014
512624,Regent Enterprises Limited,INE769D01016
512634,Savera Industries Ltd.,INE104E01014
513005,Chrome Silicon Limited,INE114E01013
513012,Jeet Machine Tools Ltd.,INE987E01012
513039,Hindusthan Udyog Ltd,INE582K01018
513043,Remi Edelstahl Tubulars Limited,INE158G01015
513059,G.S. Auto International Ltd.,INE736H01024
513063,Trans-Freight Containers Ltd.,INE360D01014
513117,Amforge Industries Ltd.,INE991A01020
513119,ONIX SOLAR ENERGY LIMITED,INE173M01012
513149,Acrow (India) Ltd.,INE950D01012
513173,Steel Strips Infrastructures Limited,INE205F01016
513252,Jay Ushin Ltd.,INE289D01015
513295,IMEC SERVICES LIMITED,INE611C01020
513303,Modern Steels Limited,INE001F01019
513307,BELDING INDIA LIMITED,INE363L01045
513309,Golkonda Aluminium Extrusions Ltd,INE327C01031
513337,Gujarat Toolroom Ltd.,INE145J01032
513353,Cochin Minerals & Rutile Ltd.,INE105D01013
513361,India Homes Limited,INE072A01029
513369,KRISHANVEER FORGE LIMITED,INE013J01016
513397,Vallabh Steels ltd,INE457E01016
513418,Smiths & Founders (India) Limited,INE728B01032
513422,Bloom Industries Ltd,INE373E01015
513430,Maitri Enterprises Limited,INE501L01024
513452,Elango Industries Ltd,INE594D01018
513456,Kanishk Steel Industries Ltd,INE791E01018
513460,Mahalaxmi Seamless Ltd.,INE257F01017
513472,Simplex Castings Ltd.,INE658D01011
513488,Shree Steel Wire Ropes Ltd.,INE387D01025
513496,SIZEMASTERS TECHNOLOGY LIMITED,INE235U01012
513498,Southern Magnesium And Chemicals Lt,INE308N01012
513502,Baroda Extrusion Ltd.,INE927K01023
513507,Gujarat Containers Ltd.,INE276I01011
513511,Panchmahal Steel Ltd.,INE798F01010
513513,Aditya Ispat Ltd.,INE570B01012
513528,Glittek Granites Ltd.,INE741B01027
513532,Pradeep Metals Ltd.,INE770A01010
513536,Gujarat Natural Resources Limited,INE207H01018
513540,Tamilnadu Steel Tubes Ltd.,INE176E01012
513544,Mardia Samyoung Capillary Tubes Co.,INE277E01026
513548,Sharda Ispat Ltd.,INE385M01012
513566,Nova Iron & Steel Ltd.,INE608C01026
513575,Sterling Powergensys Limited,INE067E01013
513629,Tulsyan NEC Ltd,INE463D01016
513642,Axel Polymers Ltd.,INE197C01012
513687,Spectra Industries Ltd.,INE848B01012
513693,KIC Metaliks Ltd.,INE434C01027
513699,Solid Stone Company Ltd.,INE584G01012
513709,Shilp Gravures Ltd.,INE960A01017
513713,White Organic Agro Limited,INE146C01019
513721,MFS Intercorp Limited,INE614F01019
514010,RUDRA ECOVATION LIMITED,INE723D01021
514028,Rajkamal Synthetics Ltd.,INE376L01013
514030,Deepak Spinners Ltd.,INE272C01013
514060,NEWTRAC FOODS & BEVERAGES LIMITED,INE229N01010
514087,P.B.M. Polytex Ltd.,INE501F01018
514113,Adinath Textiles Ltd.,INE207C01019
514138,Suryalata Spinning Mills Ltd.,INE132C01027
514165,Indian Acrylics Ltd,INE862B01013
514171,Ceeta Industries Ltd.,INE760J01012
514177,Rishabh Special Yarns Ltd,INE351D01013
514183,Black Rose Industries Ltd,INE761G01016
514197,S & T Corporation Limited,INE110Q01023
514223,Ramgopal Polytex Ltd,INE410D01017
514236,TTL ENTERPRISES LIMITED,INE664X01025
514238,MKVENTURES CAPITAL LIMITED,INE874A01010
514240,Kush Industries Limited,INE979D01011
514248,Sree chem Resins Ltd,INE377C01010
514260,Surbhi Industries Limited,INE899E01019
514264,Seasons Textiles Ltd,INE707B01010
514266,Zenith Fibres Limited,INE106C01013
514272,Bhilwara Spinners Ltd,INE436C01014
514280,Sanrhea Technical Textiles Ltd.,INE589J01015
514302,Vippy Spinpro Ltd.,INE660D01017
514312,Jaihind Synthetics Ltd.,INE156E01014
514316,Raghuvir Synthetics Ltd.,INE969C01022
514318,Jattashankar Industries Limited,INE722N01014
514322,Kamadgiri Fashion Limited,INE535C01013
514324,Omnitex Industries (India) Ltd.,INE814D01010
514326,Patspin India Ltd.,INE790C01014
514330,ONE GLOBAL SERVICE PROVIDER LIMITED,INE670O01013
514332,Neo Infracon Ltd.,INE216I01017
514336,GENESIS IBRC INDIA LIMITED,INE194N01016
514358,EVERLON FINANCIALS LIMITED,INE339D01034
514360,K&R RAIL ENGINEERING LIMITED,INE078T01026
514378,Yarn Syndicate Ltd.,INE564C01013
514386,Gujarat Cotex Ltd,INE004C01028
514400,Garware Synthetics Ltd.,INE340D01016
514402,ECO HOTELS AND RESORTS LIMITED,INE638N01012
514412,SARUP INDUSTRIES LIMITED,INE305D01019
514414,Oxford Industries ltd.,INE114D01015
514428,Hindustan Adhesives Ltd.,INE074C01013
514440,Blue Pearl Agriventures Limited,INE439N01031
514442,Sri KPR Industries Ltd,INE009C01019
514448,Jyoti Resins & Adhesives Ltd,INE577D01013
514454,Southern Latex Ltd.,INE410M01018
514470,Winsome Textile Industries Ltd,INE837B01031
515008,Modern Insulators Ltd.,INE219W01012
515043,Saint-Gobain Sekurit India Ltd.,INE068B01017
515059,Madhusudan Industries Ltd.,INE469C01023
515085,Restile Ceramics Ltd.,INE298E01022
515147,Haldyn Glass Limited,INE506D01020
516003,DUROPLY INDUSTRIES LIMITED,INE932D01010
516020,Agio Paper & Industries Limited,INE112C01011
516032,TAHMAR ENTERPRISES LIMITED,INE385D01029
516038,KS Smart Technologies Limited,INE737E01011
516062,National Plywood Industries Ltd.,INE497C01016
516078,Jumbo Bag ltd.,INE699D01015
516096,Sangal Papers Ltd.,INE384D01022
516098,Ventura Textiles Ltd.,INE810C01044
516106,Shree Karthik Papers Ltd.,INE538D01015
516108,South India Paper Mills Ltd.,INE088G01014
516110,FAMILY CARE HOSPITALS LIMITED,INE146N01016
517035,RIR POWER ELECTRONICS LIMITED,INE302D01024
517063,Jetking Infotrain Ltd.,INE919C01019
517077,Ind-Agiv Commerce Ltd.,INE115E01010
517096,Aplab Ltd.,INE273A01015
517119,PCS Technology Ltd.,INE834B01012
517166,SPEL Semiconductor Ltd.,INE252A01019
517170,Edvenswa Enterprises Limited,INE125G01014
517172,Pervasive Commodities Limited,INE443P01038
517201,Switching Technologies Gunther Ltd.,INE311D01017
517236,Calcom Vision Ltd.,INE216C01010
517238,Dynavision Limited,INE083E01010
517246,BCC Fuba India Ltd.,INE788D01016
517258,Precision Electronics Ltd.,INE143C01024
517264,Fine-line Circuits Ltd.,INE087E01011
517286,RNIT AI SOLUTIONS LIMITED,INE335Q01026
517288,Gujarat Poly Electronics Limited,INE541F01022
517320,MAGNUS STEEL AND INFRA LIMITED,INE898E01011
517336,Modern Malleables Limited,INE834C01028
517356,ACI Infocom Ltd.,INE167B01025
517360,SBEC Systems (Ind) Ltd.,INE689V01018
517370,Incap Ltd,INE437C01012
517372,Gujarat Intrux Limited,INE877E01015
517393,REGANTO ENTERPRISES LIMITED,INE043B01028
517397,Pan Electronics India Ltd.,INE648E01010
517399,VXL Instruments Ltd.,INE756A01019
517415,Lee & Nee Softwares (Exports) Ltd.,INE791B01014
517417,Patels Airtemp (I) Ltd.,INE082C01024
517429,Athena Global Technologies Limited,INE576B01019
517431,Narmada Macplast Drip Irrigation Sy,INE060D01028
517437,Dutron  Polymers Ltd.,INE940C01015
517449,Magna Electro Castings Ltd.,INE437D01010
517477,Elnet Technologies Ltd.,INE033C01019
517494,ACCEL LIMITED,INE258C01038
517514,D & H India Limited,INE589D01018
517546,Alfa Transformers ltd.,INE209C01015
517554,NHC FOODS LIMITED,INE141C01036
518011,Keerthi Industries Ltd,INE145L01012
518053,Sri Chakra Cement Limited,INE827D01020
518075,Suraj Products Ltd.,INE069E01019
519014,Prashant India Ltd,INE100E01012
519064,Khandelwal Extraction Ltd.,INE687W01010
519097,Ritesh International Ltd,INE534D01014
519152,Vadilal Enterprises Ltd.,INE693D01018
519174,Ashiana Agro Industries Ltd,INE709D01012
519191,Retro Green Revolution Limited,INE601N01010
519214,Williamson Financial Services ltd.,INE188E01017
519216,Ajanta Soya Limited,INE601B01023
519230,KISAAN PARIVAR INDUSTRIES LIMITED,INE102C01020
519234,Superior Industrial Enterprises Limited,INE843L01012
519238,Saptarishi Agro Industries Ltd,INE233P01017
519262,Prima Agro Ltd.,INE297D01018
519285,Tarai Foods Ltd.,INE906C01016
519287,Modern Dairies Ltd.,INE617B01011
519295,Bambino Agro Industries Ltd,INE921D01013
519299,Prime Industries Ltd.,INE543F01028
519307,Vikas WSP Ltd.,INE706A01022
519331,VSF Projects Limited,INE923K01014
519353,Bansisons Tea Industries Ltd.,INE856E01019
519359,Poona Dal And Oil Industries Ltd.,INE809E01018
519367,Transglobe Foods Ltd.,INE213P01027
519397,Sharat Industries Ltd.,INE220Z01013
519413,DATIWARE MARITIME INFRA LIMITED,INE673U01014
519415,KMG Milk Food Limited,INE873N01015
519421,KSE Ltd.,INE953E01022
519457,Virat Crane Industries Ltd,INE295C01014
519463,IB Infotech Enterprises Ltd,INE678B01021
519471,Ambar Protein Industries Limited,INE072V01017
519475,Chordia Food Products Ltd,INE975C01011
519477,CIAN Agro Industries & Infrastructure Limited,INE052V01019
519479,Omega Ag-Seeds (Punjab) ltd.,INE112B01013
519483,Tai Industries Ltd.,INE358D01018
519500,BKV Industries Ltd.,INE356C01022
519506,NCC Bluewater Products Ltd.,INE630N01019
519532,Asian Tea & Exports Ltd.,INE822B01017
519566,Simran Farms Ltd.,INE354D01017
519574,Hindustan Agrigenetics Ltd.,INE092301014
519604,Suryo Foods & Industries Ltd.,INE565E01016
519606,Integrated Proteins Ltd.,INE177M01013
519612,LAKE SHORE REALTY LIMITED,INE734D01010
520075,Samkrg Pistons and Rings Ltd.,INE706B01012
520081,East Coast Steel Ltd,INE315F01013
520121,Arcee Indusrtries ltd.,INE276D01012
520123,ABC India Ltd.,INE125D01011
520127,Balurghat Technologies Ltd.,INE654B01014
520131,Coastal Roadways Ltd.,INE229E01019
520141,Sibar Auto Parts Ltd.,INE441C01014
520155,Starlog Enterprises Limited,INE580C01019
521003,Shiva Suitings Ltd.,INE02Z901011
521005,TITAN INTECH LIMITED,INE807M01031
521036,Source Industries (India) Ltd,INE695C01015
521048,Advance Lifestyles Ltd.,INE900E01015
521054,Kakatiya Textiles Ltd.,INE092E01011
521062,Perfect-Octave Media Projects Ltd,INE814L01013
521068,Hisar Spinning Mills Ltd,INE689E01014
521080,Pasari Spinning Mills Ltd.,INE604F01010
521082,CLC Industries Limited,INE376C01038
521097,Amarjothi Spinning Mills Ltd,INE484D01012
521105,Olympia Industries Ltd.,INE482O01021
521113,Suditi Industries Ltd.,INE691D01012
521131,Shree Bhavya Fabrics Limited,INE363D01018
521133,Gem Spinners India Ltd,INE165F01020
521137,Eureka Industries Ltd.,INE958A01011
521141,Aditya Spinners Ltd.,INE122D01026
521149,Prime Urban Development India Ltd,INE419E01024
521151,Dhanlaxmi Fabrics Ltd.,INE953D01016
521161,Sri Lakshmi Saraswathi Textiles (Ar,INE456D01010
521167,MAXGROW INDIA LIMITED,INE485D01043
521178,Sri Ramakrishna Mills (Coimbatore) Ltd.,INE306D01017
521206,Samtex Fashions Ltd.,INE931D01020
521210,Cityman Limited,INE117C01010
521216,Dhanalaxmi Roto Spinners Ltd.,INE220C01012
521222,Sanblue Corporation Limited,INE602D01027
521226,Uniroyal Industries Ltd,INE980D01019
521228,Tatia Global Vennture Limited,INE083G01031
521232,Sunil Industries Ltd.,INE124M01015
521234,Sri Nachammai Cotton Mills Ltd.,INE443E01016
521238,BHARAT GLOBAL DEVELOPERS LIMITED,INE893C01032
521240,Sambandam Spinning Mills Ltd.,INE304D01012
521244,MKP Mobility Limited,INE676G01024
522001,Cranex Ltd.,INE608B01010
522004,Batliboi Ltd,INE177C01022
522005,Austin Engineering Co. Ltd.,INE759F01012
522017,Fluidomat Ltd.,INE459C01016
522027,Ema India Ltd.,INE279D01016
522036,Miven Machine Tools Ltd.,INE338P01014
522091,United Van Der Horst Ltd.,INE890G01047
522101,Kilburn Engineering Ltd,INE338F01015
522105,Birla Precision Technologies Ltd,INE372E01025
522122,Voith Paper Fabrics India Ltd,INE285C01015
522134,ARTSON LIMITED,INE133D01023
522152,Solitaire Machine Tools Ltd,INE410A01013
522165,Indsil Hydro Power and Manganese Limited,INE867D01018
522183,ITL Industries Ltd.,INE478D01014
522195,Frontier Springs Ltd.,INE572D01014
522207,Rasandik Engg. Industries India Ltd,INE682D01011
522209,Yogi Sung-won (India) Ltd.,INE429B01011
522229,Taneja Aerospace & Aviation Ltd.,INE692C01020
522231,Conart Engineers Ltd.,INE714D01020
522235,Minal Industries Limited,INE097E01028
522237,Shivagrico Implements Ltd.,INE092H01014
522251,Cenlub Industries Ltd.,INE627F01011
522267,Veejay Lakshmi Engineering Works Lt,INE466D01019
522273,Ahmedabad Steelcraft Ltd.,INE868C01018
522289,NMS GLOBAL LIMITED,INE169F01014
522292,CANDOUR TECHTEX LIMITED,INE713D01055
522294,T & I Global Ltd.,INE811B01010
522650,Bemco Hydraulics Ltd.,INE142E01022
523007,Ansal Buildwell Ltd.,INE030C01015
523019,B.N.Rathi Securities Ltd.,INE710D01028
523021,Rishi Techtex Limited,INE989D01010
523031,A.D.S. Diagnostics Ltd.,-
523054,Binayak Tex Processors  Ltd.,INE626H01019
523062,J.J. Finance Corporation Ltd.,INE584C01011
523100,Cosmo Ferrites Ltd.,INE124B01018
523105,CROPSTER AGRO LIMITED,INE293E01031
523113,Futuristic Securities Ltd,INE425D01015
523116,Sanco Trans Ltd.,INE391G01012
523120,THRIVE FUTURE HABITATS LIMITED,INE628D01014
523144,Medi-Caps Ltd.,INE442D01010
523151,Otco International Ltd,INE910B01028
523160,Morganite Crucible (India) Limited,INE599F01020
523186,B&A Packaging India Limited,INE00FM01013
523222,SRM Energy Limited,INE173J01018
523232,Continental Petroleums Ltd.,INE369D01023
523242,N.B. Footwear Ltd.,INE006F01018
523248,Machino Plastics Ltd,INE082B01018
523289,Rama Vision Ltd,INE763B01013
523309,Shri Gang Industries & Allied Products Limited,INE241V01018
523315,Purity Flex Pack Ltd,INE898O01010
523323,Kovai Medical Center & Hospital Ltd,INE177F01017
523343,Microse India Limited,INE809F01015
523373,Mini Diamonds (India) Ltd.,INE281E01028
523387,Triton Corp. Ltd.,INE982C01033
523411,ADC India Communications Limited,INE833A01016
523425,Sunraj Diamond Exports Ltd.,INE459D01014
523449,Sharp India Ltd,INE207B01011
523465,Ind Bank Housing Ltd,INE969D01012
523467,Jai Mata Glass Ltd.,INE250C01027
523475,Lotus Chocolate Co. Ltd.,INE026D01011
523483,Pacific Industries ltd.,INE883C01025
523489,Chennai Meenakshi Multispeciality Hospital Ltd.,INE889F01017
523519,Universal Office Automation Limited,INE951C01012
523537,APM Industries Ltd.,INE170D01025
